,抽样地点_2*,食品亚类,所在省份*
634808,菜市场,水产品,广东
636850,超市,蔬菜,青海
637448,超市,水产品,广东
640472,批发市场,蔬菜,山东
640763,超市,蔬菜,山东
640801,超市,畜禽肉及副产品,山东
642160,超市,蔬菜,山东
643566,超市,蔬菜,山东
644079,超市,畜禽肉及副产品,山东
649016,超市,蔬菜,山东
649571,超市,蔬菜,山东
653753,小食杂店,蔬菜,河北
655528,超市,水产品,北京
656075,超市,水产品,北京
658487,超市,水产品,福建
659417,菜市场,蔬菜,广东
659767,菜市场,蔬菜,广东
660773,超市,蔬菜,广东
661383,农贸市场,蔬菜,山西
661713,农贸市场,生干坚果与籽类食品,山西
661850,小食杂店,鲜蛋,广东
665205,超市,畜禽肉及副产品,广东
667210,批发市场,蔬菜,浙江
667264,批发市场,蔬菜,浙江
667619,农贸市场,蔬菜,山西
668481,菜市场,水产品,广东
670229,农贸市场,蔬菜,山西
670614,农贸市场,蔬菜,山西
671450,菜市场,蔬菜,广东
673113,批发市场,蔬菜,浙江
673410,农贸市场,蔬菜,山西
673691,农贸市场,蔬菜,山西
673747,农贸市场,水产品,广东
674069,农贸市场,蔬菜,云南
674407,农贸市场,蔬菜,山西
674637,农贸市场,蔬菜,云南
679648,农贸市场,蔬菜,山西
680317,超市,水产品,福建
680407,超市,蔬菜,山西
681231,超市,水产品,福建
681980,超市,畜禽肉及副产品,福建
682420,农贸市场,蔬菜,山西
685131,超市,水产品,福建
685465,农贸市场,畜禽肉及副产品,江苏
686406,农贸市场,蔬菜,广东
690205,其他,蔬菜,福建
690405,超市,蔬菜,福建
693903,超市,蔬菜,福建
694778,其他,蔬菜,福建
696073,超市,畜禽肉及副产品,福建
697756,超市,水产品,福建
698081,超市,水果类,福建
700458,商场,蔬菜,福建
702555,超市,生干坚果与籽类食品,四川
710856,超市,蔬菜,江苏
710882,超市,蔬菜,江苏
712278,农贸市场,水产品,广东
716274,农贸市场,水产品,山东
718287,超市,蔬菜,福建
718298,超市,蔬菜,福建
718572,超市,水产品,北京
719772,超市,水产品,北京
720781,超市,水产品,北京
721182,超市,水产品,北京
721638,超市,水产品,北京
723234,超市,水产品,河南
723861,农贸市场,畜禽肉及副产品,河南
724159,超市,畜禽肉及副产品,福建
724760,超市,蔬菜,河南
726695,超市,水产品,河南
727082,超市,蔬菜,福建
728532,超市,蔬菜,福建
730303,超市,畜禽肉及副产品,河南
732090,超市,畜禽肉及副产品,河南
734556,超市,水产品,福建
736031,超市,蔬菜,福建
736188,超市,蔬菜,福建
736992,超市,水产品,北京
737557,超市,蔬菜,重庆
739736,超市,蔬菜,福建
740251,超市,水产品,广东
741445,超市,蔬菜,湖北
742928,超市,水产品,福建
748559,超市,水产品,福建
749952,超市,水产品,湖北
750000,超市,生干坚果与籽类食品,湖北
752331,超市,蔬菜,湖北
753198,农贸市场,水产品,福建
754850,超市,水产品,湖北
758771,超市,蔬菜,福建
759205,超市,水产品,福建
759803,超市,水产品,福建
